,Name,University,Sport,Sponsors,Number_Sponsors,Instagram,Twitter,Conference,Insta_dummy,Twitter_dummy,group
0,Jashon Hubbard,The Ohio State University,Wrestling,"['614 Chiropractic', 'Barstool Sports', 'CRMD Ice Cream', 'Celsius', 'Chill Cryotherapy', 'Essentia Water', 'Ez Fresh Meals', 'Go Puff', 'Liquid I.V.', 'Max Effort Muscle', 'Playa Bowls', 'Rewild Yoga']",12,jashonhubbard,@jashon_hubbard,Big 10,1,1,0
1,Jonathan Shuskey,Christian Brothers University,Golf,"['Barstool Sports', 'Liquid I.V.', 'Swing Juice', 'Talco Industrial Chemicals', 'The Winston Collection']",5,j_shuskey1,@j_shuskey1,Non Power Five Conference,1,1,1
2,Collin Gillespie,Villanova University,Basketball,"['Barstool Sports', 'Outback Steakhouse']",2,collin105,@Colling1021,Non Power Five Conference,1,1,1
3,Buddy Boeheim,Syracuse University,Basketball,"['Enduraphin', 'Three Wishes Cereal']",2,buddy_boeheim,@Buddy_Boeheim35,Atlantic Coast Conference,1,1,0
4,Armando Bacot,University of North Carolina at Chapel Hill,Basketball,Jimmy's Seafood,1,armando,@iget_buckets35,Atlantic Coast Conference,1,1,0
5,Aaron McLaughlin,North Carolina State University,Football,Barstool Sports,1,apm.11,@11_apm,Atlantic Coast Conference,1,1,0
6,Brevin Galloway,Boston College,Basketball,Barstool Sports,1,brevingalloway,@BrevinGalloway,Atlantic Coast Conference,1,1,0
7,Bryce Young,University of Alabama,Football,Cash App,1,bryceyoung,@_bryce_young,Southeastern Conference,1,1,0
8,Graham Mertz,University of Wisconsin - Madison,Football,Raising Canes,1,graham_mertz5,@grahammertz5,Big 10,1,1,0
9,B.J. Foster,University of Texas at Austin,Football,"['PSD Underwear', 'SoHoodie']",2,bjfoster_59,@bjfoster25,Big 12,1,1,0
10,Deshun Murrell,"University of California, Los Angeles",Football,"['PSD Underwear', 'SoHoodie', 'Wrangler']",3,deshun_03,@deshun_03,Pac-12,1,1,0
11,Bryan Robinson,Florida State University,Football,"['PSD Underwear', 'SoHoodie', 'Yoke Gaming']",3,iam_b3r,,Atlantic Coast Conference,1,0,0
12,Angel Reese,"University of Maryland, College Park",Basketball,Outback Steakhouse,1,angelreese10,,Big 10,1,0,0
13,D'Eriq King,University of Miami,Football,"['College Hunks Hauling Junk', 'The Wharf']",2,deriqking,@deriqking_,Atlantic Coast Conference,1,1,0
14,Spencer Rattler,University of Oklahoma,Football,Raising Canes,1,spencer_rattler,@SpencerRattler,Big 12,1,1,0
15,Hanna Cavinder,"California State University, Fresno",Basketball,"['Boost Mobile', 'Six Star Pro Nutrition']",2,hanna.cavinder,,Non Power Five Conference,1,0,1
16,Haley Cavinder,"California State University, Fresno",Basketball,"['Boost Mobile', 'Six Star Pro Nutrition']",2,haleycavinder,,Non Power Five Conference,1,0,1
17,Nik Scalzo,University of Kentucky,Football,Barstool Sports,1,nikscalzo,@nikscalzo,Southeastern Conference,1,1,0
18,Austin Deculus,Louisiana State University,Football,"['Barstool Sports', 'PSD Underwear', 'Yoke Gaming']",3,Austin_Deculus_Deculus76,,Southeastern Conference,1,0,0
19,Spencer Lee,University of Iowa,Wrestling,Barstool Sports,1,spencerlee365,@Leespencerlee36,Big 10,1,1,0
20,Mitchell Pehlke,The Ohio State University,Lacrosse,"['Barstool Sports', 'Degree Deodorant']",2,mitchell_pehlke,@mitchellpehlke,Big 10,1,1,0
21,Adrian Martinez,University of Nebraska - Lincoln,Football,"['Degree Deodorant', 'Six Star Pro Nutrition']",2,adrianmartinez.2,,Big 10,1,0,0
22,Patrick McCaffery,University of Iowa,Basketball,Barstool Sports,1,patrickmccaffery22,@patrickmccaff22,Big 10,1,1,0
23,Malachi Moore,University of Alabama,Football,"[""Milo's Tea Company"", 'PSD Underwear']",2,kinggchi,,Southeastern Conference,1,0,0
24,Cory Durden,North Carolina State University,Football,"['PSD Underwear', 'Six Star Pro Nutrition', 'Vale Food Co']",3,16_shotzz,@Pedro2Pesos,Atlantic Coast Conference,1,1,0
25,Joseph Girard III,Syracuse University,Basketball,Yoke Gaming,1,jg3____,@jg3_____,Atlantic Coast Conference,1,1,0
26,Joe Hampton,"California State University, Long Beach",Basketball,PSD Underwear,1,jmmh_3,@jmmh_3,Non Power Five Conference,1,1,1
27,DeMarvion Overshown,University of Texas at Austin,Football,[],0,deeofficial31,@AGENT0__,Big 12,1,1,0
28,Tyrese Chambers,Florida International University,Football,"['SoHoodie', 'Taco Time +']",2,team_rese,,Non Power Five Conference,1,0,1
29,Velus Jones Jr.,University of Tennessee,Football,"['Metro Straw', 'Yoke Gaming']",2,iam_vjj,@velusjr,Southeastern Conference,1,1,0
30,John Rhys Plumlee,University of Mississippi,Football,Craddock Oil Company / Blue Sky Corporation,1,,,Southeastern Conference,0,0,0
31,Eric Ayala,"University of Maryland, College Park",Basketball,[],0,ea_glo,@ea_glo,Big 10,1,1,0
32,Hunter Dickinson,University of Michigan,Basketball,Outback Steakhouse,1,hunter.dickinson1,@H_Dickinson24,Big 10,1,1,0
33,Shanya Luna,Louisiana State University,Cross Country,"['Barstool Sports', 'Celsius', 'Liquid I.V.']",3,shanyaluna,@shanyaluna,Southeastern Conference,1,1,0
